text,label
"Renewable energy sources like solar and wind are crucial for reducing carbon emissions.",positive
"Deforestation contributes significantly to climate change by releasing stored carbon.",negative
"Electric vehicles can reduce greenhouse gas emissions when powered by clean energy.",positive
"Plastic pollution in oceans threatens marine ecosystems and biodiversity.",negative
"Community gardens promote local food production and reduce transportation emissions.",positive
"Fast fashion generates massive waste and has a large carbon footprint.",negative
"Carbon capture technology shows promise for mitigating industrial emissions.",positive
"Excessive air travel is one of the highest per-capita sources of carbon output.",negative
"Planting mangroves helps protect coastlines and sequester atmospheric carbon.",positive
"Industrial agriculture relies heavily on fossil fuels and synthetic fertilizers.",negative
